epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
224,5974.06,0.76444,0.7034,0.99373,0.83663,0.0063205,0.0063205,0.0063205
225,6008.32,0.76466,0.70354,0.99373,0.83691,0.006304,0.006304,0.006304
226,6043.19,0.76483,0.70284,0.99373,0.8377,0.0062875,0.0062875,0.0062875
227,6073.39,0.76512,0.70228,0.99359,0.8366,0.006271,0.006271,0.006271
228,6101.54,0.76145,0.70312,0.99359,0.83624,0.0062545,0.0062545,0.0062545
229,6130.38,0.76229,0.70284,0.99373,0.83693,0.006238,0.006238,0.006238
230,6159.57,0.75711,0.70396,0.99359,0.8383,0.0062215,0.0062215,0.0062215
231,6194.75,0.75821,0.70424,0.99387,0.83821,0.006205,0.006205,0.006205
232,6225.47,0.75874,0.7034,0.99373,0.83854,0.0061885,0.0061885,0.0061885
233,6254.62,0.76366,0.70368,0.99373,0.83655,0.006172,0.006172,0.006172
234,6283.7,0.76159,0.70284,0.99387,0.83771,0.0061555,0.0061555,0.0061555
235,6313.64,0.75542,0.70298,0.99401,0.83864,0.006139,0.006139,0.006139
236,6344.79,0.75615,0.70396,0.99401,0.83839,0.0061225,0.0061225,0.0061225
237,6375,0.74913,0.70465,0.99401,0.83911,0.006106,0.006106,0.006106
238,6402.93,0.74652,0.70396,0.99373,0.83732,0.0060895,0.0060895,0.0060895
239,6430.64,0.75469,0.70382,0.99373,0.83731,0.006073,0.006073,0.006073
240,6458.85,0.75055,0.70437,0.99387,0.83967,0.0060565,0.0060565,0.0060565
241,6489.57,0.74826,0.70424,0.99387,0.83892,0.00604,0.00604,0.00604
242,6518.63,0.75132,0.70424,0.99387,0.84079,0.0060235,0.0060235,0.0060235
243,6548.79,0.74002,0.70451,0.99387,0.84008,0.006007,0.006007,0.006007
244,6578.49,0.74123,0.7041,0.99387,0.83876,0.0059905,0.0059905,0.0059905
245,6609.27,0.74382,0.70424,0.99401,0.84068,0.005974,0.005974,0.005974
246,6639.29,0.74027,0.70521,0.99415,0.84196,0.0059575,0.0059575,0.0059575
247,6677.79,0.74427,0.70521,0.99415,0.84104,0.005941,0.005941,0.005941
248,6716.57,0.74032,0.70549,0.99415,0.8414,0.0059245,0.0059245,0.0059245
249,6745.52,0.73708,0.70549,0.99429,0.84107,0.005908,0.005908,0.005908
250,6775.9,0.73566,0.70563,0.99415,0.84049,0.0058915,0.0058915,0.0058915
251,6805.53,0.73548,0.70535,0.99443,0.84131,0.005875,0.005875,0.005875
252,6838.27,0.74265,0.70479,0.99457,0.84267,0.0058585,0.0058585,0.0058585
253,6866.57,0.73239,0.7041,0.99443,0.84243,0.005842,0.005842,0.005842
254,6895.44,0.73457,0.70493,0.99443,0.84214,0.0058255,0.0058255,0.0058255
255,6923.71,0.73178,0.70493,0.99443,0.84144,0.005809,0.005809,0.005809
256,6953.93,0.73778,0.70605,0.99443,0.84401,0.0057925,0.0057925,0.0057925
257,6984.43,0.72796,0.70577,0.99415,0.843,0.005776,0.005776,0.005776
258,7015.03,0.7277,0.70605,0.99415,0.84344,0.0057595,0.0057595,0.0057595
259,7063.5,0.7213,0.70577,0.99415,0.84377,0.005743,0.005743,0.005743
260,7095.67,0.729,0.7073,0.99401,0.84331,0.0057265,0.0057265,0.0057265
261,7126,0.71661,0.70814,0.99415,0.8437,0.00571,0.00571,0.00571
262,7156.35,0.73077,0.70758,0.99415,0.84443,0.0056935,0.0056935,0.0056935
263,7186.46,0.72701,0.70688,0.99429,0.84353,0.005677,0.005677,0.005677
264,7217.19,0.72144,0.7073,0.99387,0.8443,0.0056605,0.0056605,0.0056605
265,7246.96,0.72256,0.70702,0.99373,0.84552,0.005644,0.005644,0.005644
266,7283.97,0.71525,0.70758,0.99373,0.84562,0.0056275,0.0056275,0.0056275
267,7314.34,0.71376,0.70814,0.99373,0.84676,0.005611,0.005611,0.005611
268,7343.41,0.71953,0.70828,0.99373,0.84634,0.0055945,0.0055945,0.0055945
269,7372.3,0.71537,0.70702,0.99387,0.84648,0.005578,0.005578,0.005578
270,7400.99,0.7164,0.7066,0.99387,0.84774,0.0055615,0.0055615,0.0055615
271,7431.31,0.71388,0.7066,0.99373,0.84948,0.005545,0.005545,0.005545
272,7462.19,0.70921,0.70549,0.99359,0.84955,0.0055285,0.0055285,0.0055285
273,7490.67,0.71596,0.70591,0.99359,0.84931,0.005512,0.005512,0.005512
274,7519.5,0.71103,0.7066,0.99359,0.84925,0.0054955,0.0054955,0.0054955
275,7549.99,0.70453,0.70605,0.99345,0.84948,0.005479,0.005479,0.005479
276,7579.97,0.71285,0.70605,0.99345,0.84946,0.0054625,0.0054625,0.0054625
277,7610.18,0.70991,0.70619,0.99387,0.84875,0.005446,0.005446,0.005446
278,7640.07,0.70455,0.70758,0.99387,0.85051,0.0054295,0.0054295,0.0054295
279,7687.71,0.70449,0.70758,0.99373,0.85048,0.005413,0.005413,0.005413
280,7720.63,0.70586,0.70716,0.99373,0.8494,0.0053965,0.0053965,0.0053965
281,7749.72,0.69009,0.70674,0.99387,0.85181,0.00538,0.00538,0.00538
282,7779.32,0.70595,0.70674,0.99331,0.85243,0.0053635,0.0053635,0.0053635
283,7809.14,0.69616,0.70605,0.99345,0.85117,0.005347,0.005347,0.005347
284,7839.85,0.69909,0.7066,0.99345,0.85353,0.0053305,0.0053305,0.0053305
285,7869.06,0.69796,0.70674,0.99317,0.85504,0.005314,0.005314,0.005314
286,7898.69,0.68705,0.70702,0.99317,0.85456,0.0052975,0.0052975,0.0052975
287,7929.38,0.69925,0.70674,0.99331,0.85659,0.005281,0.005281,0.005281
288,7957.08,0.69079,0.70549,0.99317,0.8559,0.0052645,0.0052645,0.0052645
289,7987.43,0.68525,0.70521,0.99317,0.8574,0.005248,0.005248,0.005248
290,8016.52,0.68626,0.70605,0.99317,0.85772,0.0052315,0.0052315,0.0052315
291,8046.55,0.69202,0.70619,0.99317,0.85827,0.005215,0.005215,0.005215
292,8075.27,0.69082,0.70577,0.99331,0.8584,0.0051985,0.0051985,0.0051985
293,8104.23,0.6871,0.7066,0.99331,0.85826,0.005182,0.005182,0.005182
294,8128.24,0.68438,0.70646,0.99289,0.86,0.0051655,0.0051655,0.0051655
295,8152,0.68662,0.7066,0.99289,0.85989,0.005149,0.005149,0.005149
296,8181.76,0.68701,0.70702,0.99289,0.86056,0.0051325,0.0051325,0.0051325
297,8211.08,0.67944,0.70702,0.99303,0.85973,0.005116,0.005116,0.005116
298,8240.46,0.6852,0.70702,0.99303,0.85989,0.0050995,0.0050995,0.0050995
299,8270.85,0.6763,0.70702,0.99289,0.86137,0.005083,0.005083,0.005083
300,8301.29,0.68474,0.70619,0.99276,0.85998,0.0050665,0.0050665,0.0050665
301,8334.77,0.67717,0.70535,0.99317,0.86022,0.00505,0.00505,0.00505
302,8363.78,0.67203,0.70521,0.99317,0.86138,0.0050335,0.0050335,0.0050335
303,8392.46,0.67274,0.70563,0.99317,0.86271,0.005017,0.005017,0.005017
304,8421.07,0.6751,0.70521,0.99331,0.8621,0.0050005,0.0050005,0.0050005
305,8449.61,0.67862,0.70507,0.99317,0.86251,0.004984,0.004984,0.004984
306,8477.68,0.67502,0.70451,0.99317,0.86265,0.0049675,0.0049675,0.0049675
307,8507.42,0.6654,0.70521,0.99303,0.86358,0.004951,0.004951,0.004951
308,8539.01,0.66814,0.70744,0.99303,0.86372,0.0049345,0.0049345,0.0049345
309,8568.6,0.66617,0.70702,0.99317,0.86434,0.004918,0.004918,0.004918
310,8597.3,0.66685,0.70786,0.99303,0.8647,0.0049015,0.0049015,0.0049015
311,8625.35,0.65254,0.70828,0.99289,0.86438,0.004885,0.004885,0.004885
312,8658.29,0.66348,0.70841,0.99289,0.86555,0.0048685,0.0048685,0.0048685
313,8690.25,0.66048,0.70786,0.99303,0.86684,0.004852,0.004852,0.004852
314,8721.29,0.65638,0.70772,0.99317,0.86715,0.0048355,0.0048355,0.0048355
315,8750.49,0.65583,0.70855,0.99345,0.86732,0.004819,0.004819,0.004819
316,8779.55,0.66171,0.708,0.99331,0.86787,0.0048025,0.0048025,0.0048025
317,8808.65,0.6495,0.70772,0.99345,0.86913,0.004786,0.004786,0.004786
